timestep_ms,x,y,z,hit_r001,hit_r002,hit_r003,hit_r004,hit_r005
-400,2.506072,0.802548,-0.717435,1,1,1,1,1
-360,2.511195,0.783312,-0.7054,1,1,1,1,1
-320,2.512313,0.75908,-0.690442,1,1,1,1,1
-280,2.514302,0.732789,-0.670095,1,1,1,1,1
-240,2.517826,0.705357,-0.652528,1,1,1,1,1
-200,2.514289,0.67823,-0.638616,1,1,1,1,1
-160,2.509057,0.648683,-0.62852,1,1,1,1,1
-120,2.520323,0.623461,-0.612781,1,1,1,1,1
-80,2.535346,0.599262,-0.598435,1,1,1,1,1
-40,2.538485,0.572246,-0.582098,1,1,1,1,1
0,2.540268,0.547071,-0.564107,1,1,1,1,1
