timestep_ms,x,y,z,hit_r001,hit_r002,hit_r003,hit_r004,hit_r005
-400,4.622693,-1.396389,0.780295,1,1,1,1,1
-360,4.647912,-1.395349,0.775949,1,1,1,1,1
-320,4.673103,-1.391548,0.773739,1,1,1,1,1
-280,4.697344,-1.386893,0.769978,1,1,1,1,1
-240,4.722334,-1.38437,0.766122,1,1,1,1,1
-200,4.744602,-1.374913,0.758088,1,1,1,1,1
-160,4.762763,-1.362171,0.751685,1,1,1,1,1
-120,4.763185,-1.345468,0.741845,1,1,1,1,1
-80,4.763529,-1.32966,0.731078,1,1,1,1,1
-40,4.764405,-1.312607,0.72176,1,1,1,1,1
0,4.764676,-1.295709,0.712165,1,1,1,1,1
