timestep_ms,x,y,z,hit_r001,hit_r002,hit_r003,hit_r004,hit_r005
-400,3.344565,-1.207027,0.14302,1,1,1,1,1
-360,3.327074,-1.192988,0.142067,1,1,1,1,1
-320,3.322129,-1.17462,0.139345,1,1,1,1,1
-280,3.31867,-1.160691,0.137741,1,1,1,1,1
-240,3.311248,-1.150446,0.136711,1,1,1,1,1
-200,3.299984,-1.142902,0.136496,1,1,1,1,1
-160,3.289746,-1.135044,0.137109,1,1,1,1,1
-120,3.280393,-1.128697,0.137135,1,1,1,1,1
-80,3.271316,-1.123818,0.136925,1,1,1,1,1
-40,3.264628,-1.118401,0.136217,1,1,1,1,1
0,3.257836,-1.115083,0.136149,1,1,1,1,1
