timestep_ms,x,y,z,hit_r001,hit_r002,hit_r003,hit_r004,hit_r005
-400,2.80419,1.710246,0.082326,0,0,0,1,1
-360,2.811245,1.705857,0.085738,0,0,0,1,1
-320,2.817223,1.700928,0.088347,0,0,0,1,1
-280,2.823195,1.697264,0.089708,0,0,0,1,1
-240,2.829727,1.694159,0.089874,0,0,0,1,1
-200,2.833012,1.68876,0.090314,0,0,0,1,1
-160,2.83621,1.6851,0.090916,0,0,0,1,1
-120,2.838362,1.682648,0.091526,0,0,0,1,1
-80,2.840442,1.681171,0.090931,0,0,0,1,1
-40,2.842727,1.67996,0.090192,0,0,0,1,1
0,2.841441,1.683995,0.087186,0,0,0,1,1
