timestep_ms,x,y,z,hit_r001,hit_r002,hit_r003,hit_r004,hit_r005
-400,1.109092,0.569719,0.171184,1,1,1,1,1
-360,1.11108,0.571418,0.169211,1,1,1,1,1
-320,1.113043,0.573106,0.167524,1,1,1,1,1
-280,1.115071,0.574796,0.165942,1,1,1,1,1
-240,1.117058,0.576342,0.164197,1,1,1,1,1
-200,1.119367,0.578,0.162284,1,1,1,1,1
-160,1.123418,0.580355,0.16006,1,1,1,1,1
-120,1.129192,0.582838,0.157685,1,1,1,1,1
-80,1.136155,0.585257,0.15467,1,1,1,1,1
-40,1.143835,0.587507,0.152039,1,1,1,1,1
0,1.151336,0.590196,0.149531,1,1,1,1,1
