timestep_ms,x,y,z,hit_r001,hit_r002,hit_r003,hit_r004,hit_r005
-400,1.65677,0.460991,-0.038789,1,1,1,1,1
-360,1.677231,0.473404,-0.03705,1,1,1,1,1
-320,1.697115,0.480457,-0.032927,1,1,1,1,1
-280,1.711713,0.46709,-0.032241,1,1,1,1,1
-240,1.727136,0.457296,-0.032666,1,1,1,1,1
-200,1.743687,0.450163,-0.031972,1,1,1,1,1
-160,1.761497,0.455656,-0.031629,1,1,1,1,1
-120,1.778249,0.463647,-0.030211,1,1,1,1,1
-80,1.795017,0.47097,-0.028679,1,1,1,1,1
-40,1.813995,0.480234,-0.027619,1,1,1,1,1
0,1.834173,0.487047,-0.028576,1,1,1,1,1
