timestep_ms,x,y,z,hit_r001,hit_r002,hit_r003,hit_r004,hit_r005
-400,4.593265,-0.253418,-1.089808,1,1,1,1,1
-360,4.585653,-0.252998,-1.077316,1,1,1,1,1
-320,4.575116,-0.254532,-1.064518,1,1,1,1,1
-280,4.560429,-0.254938,-1.053526,1,1,1,1,1
-240,4.546093,-0.255458,-1.039886,1,1,1,1,1
-200,4.530672,-0.256005,-1.025283,1,1,1,1,1
-160,4.513044,-0.255611,-1.011067,1,1,1,1,1
-120,4.494692,-0.258175,-0.9952,1,1,1,1,1
-80,4.475068,-0.257932,-0.978418,1,1,1,1,1
-40,4.453498,-0.25724,-0.960523,1,1,1,1,1
0,4.430209,-0.254222,-0.942938,1,1,1,1,1
