timestep_ms,x,y,z,hit_r001,hit_r002,hit_r003,hit_r004,hit_r005
-400,1.808527,1.117547,0.45297,0,0,0,0,0
-360,1.781,1.103196,0.468093,0,0,0,0,0
-320,1.754445,1.089941,0.485652,0,0,0,0,0
-280,1.724409,1.077627,0.50572,0,0,0,0,0
-240,1.706443,1.050618,0.528823,0,0,0,0,0
-200,1.739387,1.022986,0.524663,0,0,0,0,0
-160,1.762829,0.994952,0.518316,0,0,0,0,0
-120,1.782976,0.970776,0.51283,0,0,0,0,0
-80,1.79863,0.949856,0.510469,0,0,0,0,0
-40,1.806199,0.928873,0.510028,0,0,0,0,0
0,1.81076,0.911165,0.508363,0,0,0,0,0
