timestep_ms,x,y,z,hit_r001,hit_r002,hit_r003,hit_r004,hit_r005
-400,2.059077,-0.587071,0.493988,0,1,1,1,1
-360,2.078405,-0.561403,0.49518,0,1,1,1,1
-320,2.098041,-0.5371,0.497885,0,1,1,1,1
-280,2.11716,-0.51281,0.500377,0,1,1,1,1
-240,2.140615,-0.492426,0.502152,0,1,1,1,1
-200,2.165249,-0.471455,0.502816,0,1,1,1,1
-160,2.199885,-0.465417,0.503188,0,1,1,1,1
-120,2.240437,-0.466687,0.503701,0,1,1,1,1
-80,2.279847,-0.446247,0.502197,0,1,1,1,1
-40,2.312951,-0.413599,0.501394,0,1,1,1,1
0,2.344645,-0.378794,0.499298,0,1,1,1,1
