timestep_ms,x,y,z,hit_r001,hit_r002,hit_r003,hit_r004,hit_r005
-400,4.761794,1.799562,0.976159,1,1,1,1,1
-360,4.765483,1.791801,0.973459,1,1,1,1,1
-320,4.76812,1.783019,0.972409,1,1,1,1,1
-280,4.771779,1.774775,0.970826,1,1,1,1,1
-240,4.775328,1.765293,0.969623,1,1,1,1,1
-200,4.775219,1.756963,0.969886,1,1,1,1,1
-160,4.775745,1.7516,0.970324,1,1,1,1,1
-120,4.776595,1.748181,0.970923,1,1,1,1,1
-80,4.777629,1.745453,0.971694,1,1,1,1,1
-40,4.779297,1.742551,0.972318,1,1,1,1,1
0,4.780709,1.739331,0.972873,1,1,1,1,1
