timestep_ms,x,y,z,hit_r001,hit_r002,hit_r003,hit_r004,hit_r005
-400,2.993282,-0.280161,-0.971795,0,1,1,1,1
-360,2.988173,-0.262645,-0.947141,0,1,1,1,1
-320,2.978932,-0.246891,-0.924986,0,1,1,1,1
-280,2.970665,-0.233782,-0.90273,0,1,1,1,1
-240,2.961387,-0.220318,-0.883521,0,1,1,1,1
-200,2.957981,-0.207855,-0.861434,0,1,1,1,1
-160,2.95135,-0.194356,-0.840848,0,1,1,1,1
-120,2.945551,-0.178893,-0.821367,0,1,1,1,1
-80,2.936225,-0.161222,-0.798639,0,1,1,1,1
-40,2.923894,-0.142808,-0.771117,0,1,1,1,1
0,2.909824,-0.124206,-0.744092,0,1,1,1,1
