timestep_ms,x,y,z,hit_r001,hit_r002,hit_r003,hit_r004,hit_r005
-400,1.485296,-0.892183,-0.18861,1,1,1,1,1
-360,1.490758,-0.884535,-0.187438,1,1,1,1,1
-320,1.496052,-0.876019,-0.186331,1,1,1,1,1
-280,1.500631,-0.867027,-0.185706,1,1,1,1,1
-240,1.505517,-0.858152,-0.185043,1,1,1,1,1
-200,1.510402,-0.848931,-0.184408,1,1,1,1,1
-160,1.51522,-0.838624,-0.180532,1,1,1,1,1
-120,1.520096,-0.825145,-0.177434,1,1,1,1,1
-80,1.52731,-0.810504,-0.173475,1,1,1,1,1
-40,1.54373,-0.80529,-0.167755,1,1,1,1,1
0,1.56072,-0.801665,-0.161291,1,1,1,1,1
