timestep_ms,x,y,z,hit_r001,hit_r002,hit_r003,hit_r004,hit_r005
-400,2.101334,0.141976,-0.619431,1,1,1,1,1
-360,2.122194,0.145999,-0.6006,1,1,1,1,1
-320,2.143338,0.147606,-0.583417,1,1,1,1,1
-280,2.163035,0.149987,-0.566576,1,1,1,1,1
-240,2.182106,0.150951,-0.550562,1,1,1,1,1
-200,2.200758,0.154424,-0.536094,1,1,1,1,1
-160,2.218263,0.158795,-0.52354,1,1,1,1,1
-120,2.236333,0.165734,-0.514906,1,1,1,1,1
-80,2.24901,0.157149,-0.504614,1,1,1,1,1
-40,2.258292,0.148266,-0.495278,1,1,1,1,1
0,2.264951,0.139945,-0.486328,1,1,1,1,1
