timestep_ms,x,y,z,hit_r001,hit_r002,hit_r003,hit_r004,hit_r005
-400,1.645434,0.975081,0.480372,1,1,1,1,1
-360,1.652811,0.979045,0.476715,1,1,1,1,1
-320,1.660956,0.982848,0.473299,1,1,1,1,1
-280,1.668601,0.986813,0.4697,1,1,1,1,1
-240,1.674781,0.989742,0.466918,1,1,1,1,1
-200,1.679171,0.991654,0.465263,1,1,1,1,1
-160,1.682107,0.993219,0.463452,1,1,1,1,1
-120,1.685071,0.994775,0.46166,1,1,1,1,1
-80,1.688666,0.996572,0.459999,1,1,1,1,1
-40,1.693524,0.998859,0.457939,1,1,1,1,1
0,1.699546,1.000701,0.455603,1,1,1,1,1
