timestep_ms,x,y,z,hit_r001,hit_r002,hit_r003,hit_r004,hit_r005
-400,2.92811,-1.713434,0.365487,1,1,1,1,1
-360,2.93917,-1.70681,0.364167,1,1,1,1,1
-320,2.950193,-1.700019,0.364129,1,1,1,1,1
-280,2.961209,-1.693521,0.365353,1,1,1,1,1
-240,2.971882,-1.686357,0.367405,1,1,1,1,1
-200,2.98189,-1.682092,0.373655,1,1,1,1,1
-160,2.991732,-1.67877,0.379698,1,1,1,1,1
-120,3.00165,-1.677402,0.385462,1,1,1,1,1
-80,3.01038,-1.675941,0.391962,1,1,1,1,1
-40,3.019075,-1.673733,0.397106,1,1,1,1,1
0,3.027711,-1.67196,0.401631,1,1,1,1,1
