timestep_ms,x,y,z,hit_r001,hit_r002,hit_r003,hit_r004,hit_r005
-400,4.831531,-1.005486,0.989112,0,1,1,1,1
-360,4.82944,-0.9819,0.982235,0,1,1,1,1
-320,4.83243,-0.960811,0.975756,0,1,1,1,1
-280,4.836758,-0.940024,0.9672,0,1,1,1,1
-240,4.841287,-0.921553,0.958022,0,1,1,1,1
-200,4.843717,-0.905746,0.951192,0,1,1,1,1
-160,4.846001,-0.893382,0.945976,0,1,1,1,1
-120,4.847835,-0.88201,0.940574,0,1,1,1,1
-80,4.849351,-0.870402,0.935182,0,1,1,1,1
-40,4.851636,-0.858849,0.929971,0,1,1,1,1
0,4.853636,-0.847062,0.925444,0,1,1,1,1
