timestep_ms,x,y,z,hit_r001,hit_r002,hit_r003,hit_r004,hit_r005
-400,2.510232,0.412385,-0.694702,1,1,1,1,1
-360,2.516366,0.409755,-0.688256,1,1,1,1,1
-320,2.522141,0.406588,-0.682007,1,1,1,1,1
-280,2.527408,0.403248,-0.676271,1,1,1,1,1
-240,2.533496,0.400581,-0.671268,1,1,1,1,1
-200,2.539848,0.397926,-0.66553,1,1,1,1,1
-160,2.546265,0.395774,-0.660216,1,1,1,1,1
-120,2.557509,0.39757,-0.65656,1,1,1,1,1
-80,2.570558,0.398568,-0.652981,1,1,1,1,1
-40,2.584615,0.399173,-0.648961,1,1,1,1,1
0,2.599467,0.40032,-0.644403,1,1,1,1,1
