timestep_ms,x,y,z,hit_r001,hit_r002,hit_r003,hit_r004,hit_r005
-400,5.137373,-0.610263,-0.002701,1,1,1,1,1
-360,5.160626,-0.590608,0.010453,1,1,1,1,1
-320,5.186861,-0.575352,0.022616,1,1,1,1,1
-280,5.209332,-0.555751,0.036587,1,1,1,1,1
-240,5.232079,-0.535189,0.048179,1,1,1,1,1
-200,5.252603,-0.514156,0.062942,1,1,1,1,1
-160,5.260611,-0.497743,0.085292,1,1,1,1,1
-120,5.235336,-0.48993,0.093122,1,1,1,1,1
-80,5.210413,-0.486677,0.0907,1,1,1,1,1
-40,5.186482,-0.482294,0.085169,1,1,1,1,1
0,5.162977,-0.479953,0.079465,1,1,1,1,1
