timestep_ms,x,y,z,hit_r001,hit_r002,hit_r003,hit_r004,hit_r005
-400,1.008328,-0.676773,0.065951,1,1,1,1,1
-360,1.021468,-0.671411,0.071017,1,1,1,1,1
-320,1.028403,-0.667109,0.073548,1,1,1,1,1
-280,1.032219,-0.66375,0.075325,1,1,1,1,1
-240,1.034543,-0.66041,0.076573,1,1,1,1,1
-200,1.036189,-0.657956,0.077842,1,1,1,1,1
-160,1.036987,-0.655534,0.078655,1,1,1,1,1
-120,1.037965,-0.651647,0.079844,1,1,1,1,1
-80,1.04027,-0.646506,0.080382,1,1,1,1,1
-40,1.043094,-0.640923,0.080243,1,1,1,1,1
0,1.046546,-0.635934,0.080107,1,1,1,1,1
