timestep_ms,x,y,z,hit_r001,hit_r002,hit_r003,hit_r004,hit_r005
-400,2.962563,0.929797,-0.857453,1,1,1,1,1
-360,2.969382,0.90613,-0.845445,1,1,1,1,1
-320,2.973343,0.88032,-0.831355,1,1,1,1,1
-280,2.98272,0.852934,-0.818315,1,1,1,1,1
-240,2.99462,0.826865,-0.801402,1,1,1,1,1
-200,3.007433,0.800207,-0.783973,1,1,1,1,1
-160,3.018581,0.770429,-0.767699,1,1,1,1,1
-120,3.03013,0.738825,-0.751578,1,1,1,1,1
-80,3.044347,0.706635,-0.73559,1,1,1,1,1
-40,3.057549,0.675414,-0.714833,1,1,1,1,1
0,3.072744,0.643504,-0.694604,1,1,1,1,1
