timestep_ms,x,y,z,hit_r001,hit_r002,hit_r003,hit_r004,hit_r005
-400,1.388999,-0.364708,-0.108092,1,1,1,1,1
-360,1.387369,-0.351407,-0.103846,1,1,1,1,1
-320,1.385266,-0.338431,-0.100501,1,1,1,1,1
-280,1.383479,-0.326406,-0.097871,1,1,1,1,1
-240,1.381677,-0.313736,-0.094632,1,1,1,1,1
-200,1.380571,-0.299576,-0.093225,1,1,1,1,1
-160,1.378969,-0.284865,-0.091307,1,1,1,1,1
-120,1.378288,-0.27081,-0.088438,1,1,1,1,1
-80,1.37753,-0.257732,-0.086267,1,1,1,1,1
-40,1.376843,-0.245982,-0.084808,1,1,1,1,1
0,1.376036,-0.234733,-0.083214,1,1,1,1,1
