timestep_ms,x,y,z,hit_r001,hit_r002,hit_r003,hit_r004,hit_r005
-400,2.627628,-0.329901,0.106379,1,1,1,1,1
-360,2.643889,-0.331454,0.111122,1,1,1,1,1
-320,2.657238,-0.332657,0.11839,1,1,1,1,1
-280,2.668675,-0.3308,0.126838,1,1,1,1,1
-240,2.680109,-0.32817,0.134927,1,1,1,1,1
-200,2.691754,-0.325293,0.143153,1,1,1,1,1
-160,2.706424,-0.324091,0.154467,1,1,1,1,1
-120,2.725342,-0.320248,0.168547,1,1,1,1,1
-80,2.745527,-0.313579,0.182882,1,1,1,1,1
-40,2.767294,-0.311438,0.195609,1,1,1,1,1
0,2.787532,-0.310495,0.211007,1,1,1,1,1
