timestep_ms,x,y,z,hit_r001,hit_r002,hit_r003,hit_r004,hit_r005
-400,4.766549,-0.922511,1.464613,1,1,1,1,1
-360,4.754936,-0.924523,1.452404,1,1,1,1,1
-320,4.742941,-0.925767,1.440631,1,1,1,1,1
-280,4.731449,-0.927172,1.428966,1,1,1,1,1
-240,4.720659,-0.929147,1.417149,1,1,1,1,1
-200,4.709381,-0.931802,1.405779,1,1,1,1,1
-160,4.695755,-0.93528,1.391521,1,1,1,1,1
-120,4.678905,-0.936561,1.374457,1,1,1,1,1
-80,4.659594,-0.93808,1.353867,1,1,1,1,1
-40,4.63456,-0.937492,1.334198,1,1,1,1,1
0,4.608675,-0.935152,1.311343,1,1,1,1,1
