timestep_ms,x,y,z,hit_r001,hit_r002,hit_r003,hit_r004,hit_r005
-400,2.597531,0.625482,-0.029648,0,1,1,1,1
-360,2.601359,0.612521,-0.026824,0,1,1,1,1
-320,2.602865,0.599197,-0.023316,0,1,1,1,1
-280,2.597445,0.586114,-0.018805,0,1,1,1,1
-240,2.591684,0.573842,-0.012532,0,1,1,1,1
-200,2.587482,0.56146,-0.005349,0,1,1,1,1
-160,2.587015,0.548,0.001397,0,1,1,1,1
-120,2.587017,0.534835,0.008651,0,1,1,1,1
-80,2.584639,0.521233,0.01439,0,1,1,1,1
-40,2.583448,0.504441,0.022133,0,1,1,1,1
0,2.586392,0.479732,0.031002,0,1,1,1,1
