timestep_ms,x,y,z,hit_r001,hit_r002,hit_r003,hit_r004,hit_r005
-400,2.480353,1.083095,0.701853,1,1,1,1,1
-360,2.494254,1.076827,0.699231,1,1,1,1,1
-320,2.505159,1.069956,0.699441,1,1,1,1,1
-280,2.513305,1.063929,0.69926,1,1,1,1,1
-240,2.519415,1.05932,0.699177,1,1,1,1,1
-200,2.52283,1.054595,0.698468,1,1,1,1,1
-160,2.525396,1.045507,0.694546,1,1,1,1,1
-120,2.52901,1.034095,0.689274,1,1,1,1,1
-80,2.530598,1.023197,0.684421,1,1,1,1,1
-40,2.52452,1.01193,0.678885,1,1,1,1,1
0,2.514889,0.998088,0.671297,1,1,1,1,1
