timestep_ms,x,y,z,hit_r001,hit_r002,hit_r003,hit_r004,hit_r005
-400,2.545722,-0.526279,-0.423385,1,1,1,1,1
-360,2.595706,-0.544697,-0.415357,1,1,1,1,1
-320,2.645538,-0.561031,-0.403196,1,1,1,1,1
-280,2.695497,-0.576659,-0.390215,1,1,1,1,1
-240,2.745694,-0.592853,-0.379079,1,1,1,1,1
-200,2.752882,-0.569832,-0.351217,1,1,1,1,1
-160,2.740509,-0.537271,-0.328364,1,1,1,1,1
-120,2.730193,-0.512467,-0.311279,1,1,1,1,1
-80,2.739524,-0.499369,-0.300261,1,1,1,1,1
-40,2.765701,-0.49716,-0.288307,1,1,1,1,1
0,2.793743,-0.497499,-0.273628,1,1,1,1,1
