timestep_ms,x,y,z,hit_r001,hit_r002,hit_r003,hit_r004,hit_r005
-400,1.691378,-0.900255,-0.329256,0,1,1,1,1
-360,1.690973,-0.890038,-0.328446,0,1,1,1,1
-320,1.688544,-0.878245,-0.326569,0,1,1,1,1
-280,1.686392,-0.86277,-0.322533,0,1,1,1,1
-240,1.691252,-0.845723,-0.317162,0,1,1,1,1
-200,1.708593,-0.836009,-0.312806,0,1,1,1,1
-160,1.723721,-0.82336,-0.310209,0,1,1,1,1
-120,1.720429,-0.802775,-0.30725,0,1,1,1,1
-80,1.714417,-0.780768,-0.301656,0,1,1,1,1
-40,1.708646,-0.757353,-0.293949,0,1,1,1,1
0,1.702042,-0.732815,-0.284567,0,1,1,1,1
