timestep_ms,x,y,z,hit_r001,hit_r002,hit_r003,hit_r004,hit_r005
-400,2.31444,1.287198,-0.641541,0,1,1,1,1
-360,2.33191,1.27733,-0.634293,0,1,1,1,1
-320,2.348502,1.267291,-0.625124,0,1,1,1,1
-280,2.365722,1.257431,-0.616367,0,1,1,1,1
-240,2.384408,1.248152,-0.609842,0,1,1,1,1
-200,2.400843,1.239412,-0.602183,0,1,1,1,1
-160,2.413687,1.230874,-0.595492,0,1,1,1,1
-120,2.422802,1.218997,-0.590851,0,1,1,1,1
-80,2.432914,1.22191,-0.586363,0,1,1,1,1
-40,2.438291,1.222398,-0.58369,0,1,1,1,1
0,2.443144,1.222501,-0.581128,0,1,1,1,1
