timestep_ms,x,y,z,hit_r001,hit_r002,hit_r003,hit_r004,hit_r005
-400,1.039406,0.254968,0.285509,1,1,1,1,1
-360,1.045054,0.269125,0.280234,1,1,1,1,1
-320,1.050397,0.281718,0.270977,1,1,1,1,1
-280,1.057411,0.295312,0.262716,1,1,1,1,1
-240,1.064763,0.308693,0.253718,1,1,1,1,1
-200,1.072344,0.322736,0.247083,1,1,1,1,1
-160,1.078175,0.332874,0.240784,1,1,1,1,1
-120,1.083439,0.341195,0.234043,1,1,1,1,1
-80,1.084997,0.349752,0.233592,1,1,1,1,1
-40,1.082669,0.358038,0.233687,1,1,1,1,1
0,1.080671,0.365056,0.234385,1,1,1,1,1
