timestep_ms,x,y,z,hit_r001,hit_r002,hit_r003,hit_r004,hit_r005
-400,2.193795,0.555646,0.051491,0,1,1,1,1
-360,2.203146,0.543032,0.057209,0,1,1,1,1
-320,2.212722,0.530621,0.062894,0,1,1,1,1
-280,2.222428,0.519636,0.070863,0,1,1,1,1
-240,2.23911,0.513758,0.075431,0,1,1,1,1
-200,2.25669,0.509879,0.078307,0,1,1,1,1
-160,2.272454,0.501063,0.081461,0,1,1,1,1
-120,2.289515,0.496289,0.085272,0,1,1,1,1
-80,2.30606,0.490049,0.090109,0,1,1,1,1
-40,2.322343,0.483588,0.095275,0,1,1,1,1
0,2.33883,0.476971,0.099839,0,1,1,1,1
