timestep_ms,x,y,z,hit_r001,hit_r002,hit_r003,hit_r004,hit_r005
-400,3.375557,-0.97764,-0.202411,1,1,1,1,1
-360,3.373169,-0.968471,-0.199779,1,1,1,1,1
-320,3.36861,-0.959817,-0.197839,1,1,1,1,1
-280,3.364221,-0.950425,-0.195809,1,1,1,1,1
-240,3.360144,-0.940806,-0.193473,1,1,1,1,1
-200,3.356884,-0.931143,-0.190398,1,1,1,1,1
-160,3.354002,-0.921926,-0.187347,1,1,1,1,1
-120,3.357161,-0.912049,-0.18407,1,1,1,1,1
-80,3.363502,-0.89897,-0.17971,1,1,1,1,1
-40,3.373016,-0.884384,-0.174859,1,1,1,1,1
0,3.381507,-0.869085,-0.170748,1,1,1,1,1
