timestep_ms,x,y,z,hit_r001,hit_r002,hit_r003,hit_r004,hit_r005
-400,1.913274,-1.12354,-0.020536,0,0,0,0,0
-360,1.949912,-1.097283,-0.01701,0,0,0,0,0
-320,1.989994,-1.06995,-0.011718,0,0,0,0,0
-280,2.042024,-1.06099,-0.013065,0,0,0,0,0
-240,2.09548,-1.055123,-0.017172,0,0,0,0,0
-200,2.148966,-1.049682,-0.02134,0,0,0,0,0
-160,2.202602,-1.044098,-0.022674,0,0,0,0,0
-120,2.255821,-1.035268,-0.022427,0,0,0,0,0
-80,2.309196,-1.028331,-0.020466,0,0,0,0,0
-40,2.362156,-1.018924,-0.016268,0,0,0,0,0
0,2.359688,-1.036946,-0.014693,0,0,0,0,0
