timestep_ms,x,y,z,hit_r001,hit_r002,hit_r003,hit_r004,hit_r005
-400,3.129975,1.265207,-0.198784,1,1,1,1,1
-360,3.133487,1.246715,-0.195228,1,1,1,1,1
-320,3.138203,1.228784,-0.191254,1,1,1,1,1
-280,3.143636,1.211208,-0.186733,1,1,1,1,1
-240,3.148362,1.194662,-0.182227,1,1,1,1,1
-200,3.149574,1.181461,-0.177126,1,1,1,1,1
-160,3.151382,1.171545,-0.173251,1,1,1,1,1
-120,3.153292,1.161056,-0.170607,1,1,1,1,1
-80,3.15529,1.149907,-0.167607,1,1,1,1,1
-40,3.158545,1.138811,-0.164246,1,1,1,1,1
0,3.162722,1.127813,-0.161708,1,1,1,1,1
