timestep_ms,x,y,z,hit_r001,hit_r002,hit_r003,hit_r004,hit_r005
-400,2.399761,-0.088944,-0.891792,0,1,1,1,1
-360,2.42154,-0.079464,-0.872433,0,1,1,1,1
-320,2.444607,-0.072177,-0.853328,0,1,1,1,1
-280,2.466529,-0.064728,-0.832569,0,1,1,1,1
-240,2.485703,-0.074738,-0.808867,0,1,1,1,1
-200,2.503354,-0.094006,-0.786679,0,1,1,1,1
-160,2.522807,-0.112565,-0.762116,0,1,1,1,1
-120,2.542643,-0.130645,-0.734576,0,1,1,1,1
-80,2.560316,-0.151425,-0.70533,0,1,1,1,1
-40,2.580893,-0.173207,-0.676422,0,1,1,1,1
0,2.613394,-0.168527,-0.647906,0,1,1,1,1
