timestep_ms,x,y,z,hit_r001,hit_r002,hit_r003,hit_r004,hit_r005
-400,1.604858,0.124977,0.295444,1,1,1,1,1
-360,1.622706,0.131649,0.296087,1,1,1,1,1
-320,1.640924,0.1394,0.296901,1,1,1,1,1
-280,1.658225,0.150574,0.296051,1,1,1,1,1
-240,1.678762,0.153532,0.294645,1,1,1,1,1
-200,1.6974,0.14445,0.291898,1,1,1,1,1
-160,1.714975,0.131273,0.293933,1,1,1,1,1
-120,1.729289,0.118292,0.2933,1,1,1,1,1
-80,1.738541,0.108081,0.291844,1,1,1,1,1
-40,1.747655,0.097138,0.28941,1,1,1,1,1
0,1.755853,0.08528,0.285662,1,1,1,1,1
