timestep_ms,x,y,z,hit_r001,hit_r002,hit_r003,hit_r004,hit_r005
-400,5.797313,0.147078,1.655881,0,1,1,1,1
-360,5.812872,0.160977,1.631476,0,1,1,1,1
-320,5.828921,0.178915,1.608461,0,1,1,1,1
-280,5.847726,0.199824,1.588365,0,1,1,1,1
-240,5.865833,0.217127,1.563096,0,1,1,1,1
-200,5.879939,0.236337,1.535924,0,1,1,1,1
-160,5.883142,0.254658,1.506463,0,1,1,1,1
-120,5.862433,0.267015,1.481824,0,1,1,1,1
-80,5.841876,0.27513,1.460048,0,1,1,1,1
-40,5.822384,0.281056,1.44265,0,1,1,1,1
0,5.807227,0.289637,1.427833,0,1,1,1,1
