timestep_ms,x,y,z,hit_r001,hit_r002,hit_r003,hit_r004,hit_r005
-400,3.98157,0.546574,-0.790223,1,1,1,1,1
-360,3.993534,0.542684,-0.785069,1,1,1,1,1
-320,4.006341,0.538393,-0.778884,1,1,1,1,1
-280,4.020134,0.531639,-0.773563,1,1,1,1,1
-240,4.033975,0.524889,-0.768029,1,1,1,1,1
-200,4.048483,0.520437,-0.762208,1,1,1,1,1
-160,4.063844,0.516616,-0.755869,1,1,1,1,1
-120,4.079133,0.511312,-0.748246,1,1,1,1,1
-80,4.095832,0.506195,-0.740272,1,1,1,1,1
-40,4.113085,0.501748,-0.731071,1,1,1,1,1
0,4.132163,0.497819,-0.72392,1,1,1,1,1
