timestep_ms,x,y,z,hit_r001,hit_r002,hit_r003,hit_r004,hit_r005
-400,1.726423,-1.104014,-0.548009,0,1,1,1,1
-360,1.775118,-1.122563,-0.545913,0,1,1,1,1
-320,1.825617,-1.138619,-0.536378,0,1,1,1,1
-280,1.876066,-1.15701,-0.531997,0,1,1,1,1
-240,1.925296,-1.177168,-0.523631,0,1,1,1,1
-200,1.974214,-1.198712,-0.517208,0,1,1,1,1
-160,2.023886,-1.217722,-0.508439,0,1,1,1,1
-120,2.06855,-1.223168,-0.500801,0,1,1,1,1
-80,2.084578,-1.174673,-0.483784,0,1,1,1,1
-40,2.097548,-1.12798,-0.461307,0,1,1,1,1
0,2.10446,-1.077287,-0.445413,0,1,1,1,1
