timestep_ms,x,y,z,hit_r001,hit_r002,hit_r003,hit_r004,hit_r005
-400,0.683939,0.055809,-0.152692,1,1,1,1,1
-360,0.703978,0.077716,-0.147463,1,1,1,1,1
-320,0.724929,0.096836,-0.141756,1,1,1,1,1
-280,0.746173,0.115785,-0.139305,1,1,1,1,1
-240,0.766404,0.134203,-0.133051,1,1,1,1,1
-200,0.789133,0.148072,-0.131489,1,1,1,1,1
-160,0.814285,0.155182,-0.129474,1,1,1,1,1
-120,0.841315,0.159412,-0.122065,1,1,1,1,1
-80,0.867112,0.168195,-0.115836,1,1,1,1,1
-40,0.89119,0.173971,-0.112722,1,1,1,1,1
0,0.91252,0.180968,-0.109948,1,1,1,1,1
