timestep_ms,x,y,z,hit_r001,hit_r002,hit_r003,hit_r004,hit_r005
-400,1.956035,-1.245639,-0.032723,0,1,1,1,1
-360,1.972259,-1.254383,-0.019601,0,1,1,1,1
-320,2.000696,-1.257391,-0.020218,0,1,1,1,1
-280,2.029681,-1.26115,-0.020254,0,1,1,1,1
-240,2.058875,-1.261293,-0.019511,0,1,1,1,1
-200,2.087623,-1.264721,-0.021325,0,1,1,1,1
-160,2.115862,-1.266196,-0.019992,0,1,1,1,1
-120,2.141005,-1.263502,-0.01906,0,1,1,1,1
-80,2.15813,-1.262392,-0.019303,0,1,1,1,1
-40,2.171549,-1.262167,-0.018614,0,1,1,1,1
0,2.184955,-1.260232,-0.017913,0,1,1,1,1
