timestep_ms,x,y,z,hit_r001,hit_r002,hit_r003,hit_r004,hit_r005
-400,2.299154,-0.083993,-0.713339,1,1,1,1,1
-360,2.339351,-0.117684,-0.701223,1,1,1,1,1
-320,2.38345,-0.140406,-0.687799,1,1,1,1,1
-280,2.425747,-0.113993,-0.667446,1,1,1,1,1
-240,2.466628,-0.089316,-0.642614,1,1,1,1,1
-200,2.510761,-0.066687,-0.621845,1,1,1,1,1
-160,2.557593,-0.055529,-0.601804,1,1,1,1,1
-120,2.594733,-0.091459,-0.588755,1,1,1,1,1
-80,2.63476,-0.126227,-0.579613,1,1,1,1,1
-40,2.676736,-0.157085,-0.566361,1,1,1,1,1
0,2.710672,-0.19445,-0.54871,1,1,1,1,1
