timestep_ms,x,y,z,hit_r001,hit_r002,hit_r003,hit_r004,hit_r005
-400,1.647605,-0.706246,0.167397,0,0,0,0,0
-360,1.675844,-0.704536,0.165361,0,0,0,0,0
-320,1.705116,-0.703823,0.163524,0,0,0,0,0
-280,1.735118,-0.698491,0.163312,0,0,0,0,0
-240,1.766117,-0.692385,0.163879,0,0,0,0,0
-200,1.798149,-0.683196,0.169188,0,0,0,0,0
-160,1.831415,-0.67292,0.176109,0,0,0,0,0
-120,1.867623,-0.664703,0.180795,0,0,0,0,0
-80,1.905227,-0.654144,0.185051,0,0,0,0,0
-40,1.943284,-0.640081,0.191205,0,0,0,0,0
0,1.97275,-0.623844,0.197459,0,0,0,0,0
