timestep_ms,x,y,z,hit_r001,hit_r002,hit_r003,hit_r004,hit_r005
-400,3.825283,0.855511,-0.885563,1,1,1,1,1
-360,3.828763,0.838959,-0.877911,1,1,1,1,1
-320,3.827204,0.825591,-0.866007,1,1,1,1,1
-280,3.822877,0.813892,-0.852858,1,1,1,1,1
-240,3.81806,0.802382,-0.839636,1,1,1,1,1
-200,3.813149,0.790783,-0.826575,1,1,1,1,1
-160,3.807862,0.77868,-0.813694,1,1,1,1,1
-120,3.801046,0.764268,-0.802067,1,1,1,1,1
-80,3.79483,0.750216,-0.789304,1,1,1,1,1
-40,3.791257,0.735633,-0.776072,1,1,1,1,1
0,3.788341,0.721627,-0.762447,1,1,1,1,1
