timestep_ms,x,y,z,hit_r001,hit_r002,hit_r003,hit_r004,hit_r005
-400,4.060032,0.275859,0.223622,0,1,1,1,1
-360,4.088978,0.258348,0.221007,0,1,1,1,1
-320,4.120262,0.245914,0.218199,0,1,1,1,1
-280,4.151078,0.232997,0.214978,0,1,1,1,1
-240,4.18319,0.221075,0.213731,0,1,1,1,1
-200,4.212078,0.203973,0.210472,0,1,1,1,1
-160,4.241523,0.191173,0.204287,0,1,1,1,1
-120,4.268096,0.173814,0.199609,0,1,1,1,1
-80,4.294323,0.159236,0.192695,0,1,1,1,1
-40,4.31935,0.143209,0.189325,0,1,1,1,1
0,4.343285,0.128776,0.181488,0,1,1,1,1
