timestep_ms,x,y,z,hit_r001,hit_r002,hit_r003,hit_r004,hit_r005
-400,3.317017,0.601444,-0.963111,0,0,1,1,1
-360,3.353901,0.609519,-0.942211,0,0,1,1,1
-320,3.390447,0.615859,-0.918072,0,0,1,1,1
-280,3.419554,0.611939,-0.883199,0,0,1,1,1
-240,3.451069,0.607627,-0.849496,0,0,1,1,1
-200,3.480208,0.6015,-0.813787,0,0,1,1,1
-160,3.508026,0.592937,-0.776894,0,0,1,1,1
-120,3.535919,0.580643,-0.741153,0,0,1,1,1
-80,3.55949,0.565735,-0.703893,0,0,1,1,1
-40,3.58316,0.55638,-0.665057,0,0,1,1,1
0,3.60844,0.547337,-0.627346,0,0,1,1,1
