timestep_ms,x,y,z,hit_r001,hit_r002,hit_r003,hit_r004,hit_r005
-400,5.355317,0.29852,-0.928659,1,1,1,1,1
-360,5.33551,0.314248,-0.90423,1,1,1,1,1
-320,5.314926,0.329751,-0.87772,1,1,1,1,1
-280,5.284981,0.324115,-0.855487,1,1,1,1,1
-240,5.255503,0.314707,-0.831695,1,1,1,1,1
-200,5.226356,0.303327,-0.807721,1,1,1,1,1
-160,5.200128,0.288472,-0.782813,1,1,1,1,1
-120,5.172392,0.27435,-0.759808,1,1,1,1,1
-80,5.144463,0.26379,-0.734985,1,1,1,1,1
-40,5.117235,0.253328,-0.709531,1,1,1,1,1
0,5.089336,0.241552,-0.685668,1,1,1,1,1
