timestep_ms,x,y,z,hit_r001,hit_r002,hit_r003,hit_r004,hit_r005
-400,1.953815,0.48334,-0.258007,0,1,1,1,1
-360,1.977467,0.450959,-0.247806,0,1,1,1,1
-320,2.00058,0.416773,-0.235486,0,1,1,1,1
-280,2.0194,0.388587,-0.224686,0,1,1,1,1
-240,1.985776,0.361292,-0.215931,0,1,1,1,1
-200,1.961249,0.32316,-0.199407,0,1,1,1,1
-160,1.943203,0.279794,-0.177564,0,1,1,1,1
-120,1.925683,0.233698,-0.156554,0,1,1,1,1
-80,1.929969,0.200832,-0.133663,0,1,1,1,1
-40,1.972449,0.222009,-0.116558,0,1,1,1,1
0,2.011732,0.240064,-0.10209,0,1,1,1,1
