timestep_ms,x,y,z,hit_r001,hit_r002,hit_r003,hit_r004,hit_r005
-400,2.804896,0.579069,-0.544893,0,1,1,1,1
-360,2.792275,0.557004,-0.508339,0,1,1,1,1
-320,2.780448,0.532184,-0.469674,0,1,1,1,1
-280,2.798676,0.505248,-0.43849,0,1,1,1,1
-240,2.845459,0.498012,-0.425844,0,1,1,1,1
-200,2.889572,0.490149,-0.413436,0,1,1,1,1
-160,2.931158,0.482862,-0.400565,0,1,1,1,1
-120,2.969648,0.470825,-0.387364,0,1,1,1,1
-80,3.006271,0.45582,-0.375518,0,1,1,1,1
-40,3.041875,0.442696,-0.363081,0,1,1,1,1
0,3.075934,0.427876,-0.351564,0,1,1,1,1
