timestep_ms,x,y,z,hit_r001,hit_r002,hit_r003,hit_r004,hit_r005
-400,3.183328,0.349296,0.137291,0,1,1,1,1
-360,3.201302,0.333736,0.13874,0,1,1,1,1
-320,3.21696,0.32146,0.138784,0,1,1,1,1
-280,3.237296,0.32516,0.139702,0,1,1,1,1
-240,3.25969,0.331451,0.137745,0,1,1,1,1
-200,3.283853,0.340709,0.137254,0,1,1,1,1
-160,3.311004,0.34769,0.138811,0,1,1,1,1
-120,3.340357,0.355911,0.13842,0,1,1,1,1
-80,3.370766,0.367077,0.137269,0,1,1,1,1
-40,3.40306,0.379897,0.138714,0,1,1,1,1
0,3.437201,0.392632,0.144507,0,1,1,1,1
