timestep_ms,x,y,z,hit_r001,hit_r002,hit_r003,hit_r004,hit_r005
-400,1.368827,0.538001,-0.194634,0,1,1,1,1
-360,1.422006,0.545937,-0.190953,0,1,1,1,1
-320,1.475032,0.553997,-0.185745,0,1,1,1,1
-280,1.527944,0.559138,-0.178815,0,1,1,1,1
-240,1.581331,0.556116,-0.17217,0,1,1,1,1
-200,1.634619,0.554587,-0.164754,0,1,1,1,1
-160,1.687441,0.553265,-0.154893,0,1,1,1,1
-120,1.739861,0.546358,-0.144975,0,1,1,1,1
-80,1.791963,0.535132,-0.136884,0,1,1,1,1
-40,1.843185,0.528379,-0.121706,0,1,1,1,1
0,1.89583,0.526577,-0.110614,0,1,1,1,1
