timestep_ms,x,y,z,hit_r001,hit_r002,hit_r003,hit_r004,hit_r005
-400,0.878772,0.060667,-0.243055,0,1,1,1,1
-360,0.887139,0.064258,-0.241445,0,1,1,1,1
-320,0.895774,0.067402,-0.240098,0,1,1,1,1
-280,0.904613,0.069491,-0.238044,0,1,1,1,1
-240,0.913138,0.071849,-0.234013,0,1,1,1,1
-200,0.922517,0.073918,-0.228745,0,1,1,1,1
-160,0.932173,0.077527,-0.223211,0,1,1,1,1
-120,0.942466,0.080741,-0.216863,0,1,1,1,1
-80,0.953266,0.084448,-0.210451,0,1,1,1,1
-40,0.964549,0.086063,-0.202998,0,1,1,1,1
0,0.976113,0.077767,-0.194567,0,1,1,1,1
