timestep_ms,x,y,z,hit_r001,hit_r002,hit_r003,hit_r004,hit_r005
-400,3.399928,1.002341,2.022288,0,1,1,1,1
-360,3.400458,0.975649,1.995484,0,1,1,1,1
-320,3.397841,0.944695,1.968171,0,1,1,1,1
-280,3.398109,0.912627,1.936708,0,1,1,1,1
-240,3.397968,0.878849,1.902266,0,1,1,1,1
-200,3.3987,0.84391,1.864444,0,1,1,1,1
-160,3.400304,0.807984,1.824423,0,1,1,1,1
-120,3.403729,0.771973,1.78446,0,1,1,1,1
-80,3.409492,0.733669,1.747029,0,1,1,1,1
-40,3.418439,0.690513,1.716204,0,1,1,1,1
0,3.430016,0.650083,1.682525,0,1,1,1,1
