timestep_ms,x,y,z,hit_r001,hit_r002,hit_r003,hit_r004,hit_r005
-400,2.47107,1.323811,0.055764,1,1,1,1,1
-360,2.483953,1.308003,0.060491,1,1,1,1,1
-320,2.507793,1.310356,0.067872,1,1,1,1,1
-280,2.534703,1.309658,0.076122,1,1,1,1,1
-240,2.56473,1.309409,0.085952,1,1,1,1,1
-200,2.578346,1.280563,0.096485,1,1,1,1,1
-160,2.591376,1.250981,0.108735,1,1,1,1,1
-120,2.604901,1.220929,0.120368,1,1,1,1,1
-80,2.619044,1.19,0.131943,1,1,1,1,1
-40,2.632627,1.159609,0.146151,1,1,1,1,1
0,2.645059,1.127382,0.157491,1,1,1,1,1
