timestep_ms,x,y,z,hit_r001,hit_r002,hit_r003,hit_r004,hit_r005
-400,2.275611,-0.451721,0.749978,1,1,1,1,1
-360,2.280339,-0.451817,0.74876,1,1,1,1,1
-320,2.285048,-0.451028,0.747108,1,1,1,1,1
-280,2.291111,-0.449614,0.745447,1,1,1,1,1
-240,2.298081,-0.44782,0.743592,1,1,1,1,1
-200,2.305346,-0.446166,0.741876,1,1,1,1,1
-160,2.312329,-0.444289,0.740157,1,1,1,1,1
-120,2.319021,-0.44353,0.738813,1,1,1,1,1
-80,2.325639,-0.442518,0.737696,1,1,1,1,1
-40,2.332719,-0.441468,0.736488,1,1,1,1,1
0,2.34019,-0.440381,0.734993,1,1,1,1,1
