timestep_ms,x,y,z,hit_r001,hit_r002,hit_r003,hit_r004,hit_r005
-400,1.716565,-0.291856,0.7427,0,1,1,1,1
-360,1.721399,-0.315087,0.712407,0,1,1,1,1
-320,1.725186,-0.331641,0.678161,0,1,1,1,1
-280,1.727406,-0.346276,0.646041,0,1,1,1,1
-240,1.732065,-0.363739,0.620623,0,1,1,1,1
-200,1.736058,-0.381296,0.600434,0,1,1,1,1
-160,1.738653,-0.393802,0.580574,0,1,1,1,1
-120,1.745031,-0.406801,0.561568,0,1,1,1,1
-80,1.752417,-0.420757,0.538396,0,1,1,1,1
-40,1.75701,-0.436111,0.509933,0,1,1,1,1
0,1.76279,-0.455888,0.482063,0,1,1,1,1
