timestep_ms,x,y,z,hit_r001,hit_r002,hit_r003,hit_r004,hit_r005
-400,2.798962,-0.370701,-1.024371,1,1,1,1,1
-360,2.798511,-0.356858,-1.006255,1,1,1,1,1
-320,2.798701,-0.341115,-0.987246,1,1,1,1,1
-280,2.797097,-0.331358,-0.965667,1,1,1,1,1
-240,2.790436,-0.347561,-0.94849,1,1,1,1,1
-200,2.783666,-0.360714,-0.933785,1,1,1,1,1
-160,2.777869,-0.371491,-0.921606,1,1,1,1,1
-120,2.771963,-0.379927,-0.912646,1,1,1,1,1
-80,2.768876,-0.386989,-0.906924,1,1,1,1,1
-40,2.767683,-0.388414,-0.901355,1,1,1,1,1
0,2.766667,-0.387529,-0.895381,1,1,1,1,1
