timestep_ms,x,y,z,hit_r001,hit_r002,hit_r003,hit_r004,hit_r005
-400,3.659664,-1.121186,-0.490676,0,1,1,1,1
-360,3.64639,-1.108318,-0.478661,0,1,1,1,1
-320,3.629856,-1.09386,-0.467653,0,1,1,1,1
-280,3.611245,-1.079701,-0.454263,0,1,1,1,1
-240,3.591177,-1.06993,-0.438421,0,1,1,1,1
-200,3.574952,-1.057215,-0.42544,0,1,1,1,1
-160,3.556098,-1.046002,-0.412519,0,1,1,1,1
-120,3.535913,-1.033718,-0.401112,0,1,1,1,1
-80,3.515181,-1.022934,-0.388329,0,1,1,1,1
-40,3.497197,-1.011716,-0.373584,0,1,1,1,1
0,3.47962,-0.996144,-0.359794,0,1,1,1,1
