timestep_ms,x,y,z,hit_r001,hit_r002,hit_r003,hit_r004,hit_r005
-400,2.655089,-0.686626,-0.168901,1,1,1,1,1
-360,2.673299,-0.664358,-0.15879,1,1,1,1,1
-320,2.655852,-0.645574,-0.146224,1,1,1,1,1
-280,2.639984,-0.629417,-0.138334,1,1,1,1,1
-240,2.628237,-0.615923,-0.130812,1,1,1,1,1
-200,2.619816,-0.604782,-0.124676,1,1,1,1,1
-160,2.614456,-0.596525,-0.119208,1,1,1,1,1
-120,2.613274,-0.590441,-0.116315,1,1,1,1,1
-80,2.620778,-0.582368,-0.112664,1,1,1,1,1
-40,2.629413,-0.572139,-0.10912,1,1,1,1,1
0,2.639389,-0.560338,-0.104726,1,1,1,1,1
