timestep_ms,x,y,z,hit_r001,hit_r002,hit_r003,hit_r004,hit_r005
-400,2.075136,-0.329546,-0.392254,0,1,1,1,1
-360,2.084833,-0.3075,-0.376186,0,1,1,1,1
-320,2.097705,-0.285395,-0.364085,0,1,1,1,1
-280,2.113914,-0.264223,-0.348138,0,1,1,1,1
-240,2.133372,-0.243396,-0.330874,0,1,1,1,1
-200,2.149874,-0.217331,-0.318231,0,1,1,1,1
-160,2.170965,-0.195864,-0.30434,0,1,1,1,1
-120,2.193805,-0.174471,-0.293161,0,1,1,1,1
-80,2.212228,-0.150218,-0.279891,0,1,1,1,1
-40,2.233433,-0.131126,-0.262679,0,1,1,1,1
0,2.256948,-0.113335,-0.250984,0,1,1,1,1
