timestep_ms,x,y,z,hit_r001,hit_r002,hit_r003,hit_r004,hit_r005
-400,2.700638,0.139946,-0.173125,0,0,0,0,0
-360,2.721128,0.146482,-0.163684,0,0,0,0,0
-320,2.744371,0.146008,-0.153541,0,0,0,0,0
-280,2.77117,0.143805,-0.150243,0,0,0,0,0
-240,2.799459,0.144696,-0.145382,0,0,0,0,0
-200,2.829327,0.142396,-0.142177,0,0,0,0,0
-160,2.860806,0.139947,-0.137065,0,0,0,0,0
-120,2.893197,0.142128,-0.12725,0,0,0,0,0
-80,2.926706,0.145915,-0.117956,0,0,0,0,0
-40,2.954667,0.156588,-0.105871,0,0,0,0,0
0,2.962757,0.160137,-0.105074,0,0,0,0,0
