timestep_ms,x,y,z,hit_r001,hit_r002,hit_r003,hit_r004,hit_r005
-400,3.499141,1.090886,-0.770419,1,1,1,1,1
-360,3.49954,1.092198,-0.769273,1,1,1,1,1
-320,3.499927,1.09344,-0.768257,1,1,1,1,1
-280,3.500486,1.094789,-0.767268,1,1,1,1,1
-240,3.501154,1.096261,-0.766458,1,1,1,1,1
-200,3.501509,1.097469,-0.765451,1,1,1,1,1
-160,3.502119,1.098879,-0.764335,1,1,1,1,1
-120,3.502484,1.100192,-0.763214,1,1,1,1,1
-80,3.502836,1.101431,-0.762421,1,1,1,1,1
-40,3.503253,1.102759,-0.761256,1,1,1,1,1
0,3.50357,1.104714,-0.760331,1,1,1,1,1
