timestep_ms,x,y,z,hit_r001,hit_r002,hit_r003,hit_r004,hit_r005
-400,4.769816,0.031522,-0.170706,0,1,1,1,1
-360,4.773919,0.040529,-0.163714,0,1,1,1,1
-320,4.778547,0.05177,-0.154886,0,1,1,1,1
-280,4.781961,0.065372,-0.144696,0,1,1,1,1
-240,4.787046,0.082075,-0.134995,0,1,1,1,1
-200,4.793125,0.100766,-0.123664,0,1,1,1,1
-160,4.798463,0.122499,-0.112286,0,1,1,1,1
-120,4.805314,0.143618,-0.096024,0,1,1,1,1
-80,4.810556,0.167978,-0.079946,0,1,1,1,1
-40,4.815797,0.193391,-0.061979,0,1,1,1,1
0,4.821669,0.219654,-0.041801,0,1,1,1,1
