timestep_ms,x,y,z,hit_r001,hit_r002,hit_r003,hit_r004,hit_r005
-400,2.505315,0.606135,0.039066,0,1,1,1,1
-360,2.499425,0.595093,0.038366,0,1,1,1,1
-320,2.494253,0.585367,0.035036,0,1,1,1,1
-280,2.488552,0.575007,0.031529,0,1,1,1,1
-240,2.48532,0.562488,0.030105,0,1,1,1,1
-200,2.484866,0.54923,0.028116,0,1,1,1,1
-160,2.477457,0.536155,0.03153,0,1,1,1,1
-120,2.471948,0.519386,0.036064,0,1,1,1,1
-80,2.468112,0.498341,0.042714,0,1,1,1,1
-40,2.460199,0.473751,0.047082,0,1,1,1,1
0,2.454837,0.445064,0.052601,0,1,1,1,1
