timestep_ms,x,y,z,hit_r001,hit_r002,hit_r003,hit_r004,hit_r005
-400,0.755199,-0.291909,-0.062575,0,0,0,0,0
-360,0.76915,-0.29799,-0.06056,0,0,0,0,0
-320,0.782029,-0.302973,-0.057562,0,0,0,0,0
-280,0.786974,-0.296207,-0.05416,0,0,0,0,0
-240,0.787796,-0.294642,-0.052526,0,0,0,0,0
-200,0.787748,-0.294939,-0.051495,0,0,0,0,0
-160,0.787718,-0.294968,-0.050362,0,0,0,0,0
-120,0.788157,-0.29412,-0.048787,0,0,0,0,0
-80,0.784991,-0.29655,-0.047356,0,0,0,0,0
-40,0.777757,-0.307829,-0.042239,0,0,0,0,0
0,0.769135,-0.328339,-0.031706,0,0,0,0,0
